image,scab,frog_eye_leaf_spot,rust,complex,powdery_mildew,healthy
Test_0.jpg,1.5272783e-05,1.1137754e-07,0.9991082,0.0008330324,3.9964783e-07,5.0741623e-05
Test_1.jpg,9.9155095e-06,3.116029e-07,0.9997922,0.0001688111,1.04557095e-07,3.077982e-05
Test_10.jpg,1.901933e-05,5.8155972e-08,0.999881,8.181295e-05,1.7826036e-07,1.9627665e-05
Test_100.jpg,0.770469,4.553151e-09,0.20715927,0.0908861,8.973968e-08,0.09284187
Test_1000.jpg,0.0012599156,3.9719158e-08,0.99539244,0.0007204719,1.9783663e-07,0.0026282673
Test_1001.jpg,0.5590246,1.0009522e-06,0.046418894,0.43598816,3.2007613e-08,0.004140016
Test_1002.jpg,1.3112934e-06,3.921605e-08,0.99999624,3.0187484e-06,9.1881326e-08,6.9626634e-07
Test_1003.jpg,0.99156255,3.7844043e-08,0.03703704,0.0004129421,3.827856e-07,0.008409334
Test_1004.jpg,0.87075096,2.0840194e-08,0.07429517,0.21067667,2.7509145e-07,0.09098946
Test_1005.jpg,5.5173077e-05,5.9680985e-07,0.0006695785,0.0013791807,0.10491906,0.89381355
Test_1006.jpg,0.0011407371,3.7800728e-08,0.9099942,0.08842147,1.7331148e-07,0.0004447635
Test_1007.jpg,0.93946695,6.1925824e-08,0.06754028,0.040991284,4.316089e-07,0.059321202
Test_1008.jpg,0.054190066,1.2933394e-07,0.00011336605,4.923194e-05,2.0710564e-07,0.9456491
Test_1009.jpg,0.017843865,1.5860767e-08,0.97002286,0.005059527,7.8185884e-08,0.007074392
Test_101.jpg,0.6234941,3.8446092e-07,0.012601071,0.045136966,0.00032795398,0.3756537
Test_1010.jpg,1.3319778e-05,4.689708e-08,0.99995905,1.18268135e-05,1.4683388e-07,1.7012917e-05
Test_1011.jpg,7.0517416e-07,2.880166e-08,0.99995553,4.404312e-05,4.4894808e-08,5.2204854e-07
Test_1012.jpg,0.71502125,2.6451234e-08,0.23274964,0.076699376,5.3024064e-07,0.06726437
Test_1013.jpg,2.145849e-06,4.2765947e-08,0.9999755,1.8482237e-05,1.1236123e-07,4.8906536e-06
